,name,year,selling_price,km_driven,fuel,mileage(km/ltr/kg),engine,max_power,seats
26,Chevrolet Enjoy TCDi,2013,300000,70000,Diesel,18.2,1248.0,73.8,7.0
27,Maruti Wagon R,2009,220000,120000,Petrol,18.9,1061.0,67.0,5.0
28,Maruti Omni E,2018,254999,25000,Petrol,16.8,796.0,34.2,8.0
29,Maruti Vitara Brezza,2017,670000,70000,Diesel,24.3,1248.0,88.5,5.0
30,Maruti Omni 8,2012,150000,35000,Petrol,14.0,796.0,35.0,5.0
31,Hyundai i20 1.2,2018,730000,2388,Petrol,18.6,1197.0,81.83,5.0
32,Maruti Vitara Brezza,2017,650000,16200,Diesel,24.3,1248.0,88.5,5.0
33,Maruti Alto 800,2019,330000,10000,CNG,33.44,796.0,40.3,4.0
34,Maruti Alto K10,2019,366000,15000,Petrol,23.95,998.0,67.1,5.0
35,Hyundai Verna VTVT,2019,1149000,5000,Petrol,17.0,1591.0,121.3,5.0
36,Datsun GO D,2016,150000,42000,Petrol,20.63,1198.0,67.0,5.0
37,Tata Safari DICOR,2011,425000,60000,Diesel,13.93,2179.0,138.03,7.0
38,Maruti 800 Std,2012,150000,76000,Petrol,16.1,796.0,37.0,4.0
39,Jeep Compass 1.4,2019,2100000,5000,Petrol,16.0,1368.0,160.77,5.0
40,Honda City i,2018,925000,28900,Petrol,17.8,1497.0,117.3,5.0
41,Honda City V,2013,425000,86300,Petrol,16.8,1497.0,116.3,5.0
42,Maruti Swift Dzire,2018,675000,23300,Petrol,18.5,1197.0,83.14,5.0
43,Maruti Vitara Brezza,2018,819999,32600,Diesel,24.3,1248.0,88.5,5.0
44,Maruti Alto K10,2018,390000,10300,Petrol,23.95,998.0,67.05,5.0
45,Toyota Fortuner 4x4,2014,1500000,77000,Diesel,12.55,2982.0,168.5,7.0
46,Toyota Innova 2.5,2013,700000,99000,Diesel,12.99,2494.0,100.0,7.0
47,Mercedes-Benz B Class,2014,1450000,27800,Diesel,14.8,2143.0,120.7,5.0
48,Honda Amaze S,2015,425000,49800,Diesel,24.7,1498.0,98.63,5.0
49,Mitsubishi Pajero Sport,2013,1090000,151000,Diesel,13.5,2477.0,175.56,7.0
50,Honda City i,2015,600000,54700,Diesel,26.0,1498.0,98.6,5.0
51,Maruti Ciaz Zeta,2018,850000,64000,Petrol,20.65,1462.0,103.25,5.0
52,Honda Jazz VX,2015,525000,63000,Diesel,27.3,1498.0,98.6,5.0
53,Toyota Innova Crysta,2016,1650000,127700,Diesel,11.36,2755.0,171.5,7.0
54,Toyota Innova 2.5,2016,950000,99000,Diesel,12.99,2494.0,100.6,7.0
55,Audi A6 2.0,2013,1750000,33900,Diesel,17.68,1968.0,174.33,5.0
56,Toyota Corolla Altis,2018,1590000,25000,Petrol,14.28,1798.0,138.03,5.0
57,Audi A6 2.0,2013,1689999,50000,Diesel,18.53,1968.0,187.74,5.0
58,Mercedes-Benz New C-Class,2013,1425000,59000,Diesel,14.84,2143.0,170.0,5.0
59,Tata Manza ELAN,2011,265000,120000,Diesel,21.12,1248.0,88.8,5.0
60,Hyundai i10 Magna,2011,190000,110000,Petrol,20.36,1197.0,78.9,5.0
61,Hyundai i20 Asta,2013,425000,60000,Diesel,21.27,1396.0,88.76,5.0
62,Maruti Swift Dzire,2015,630000,147000,Diesel,26.59,1248.0,74.0,5.0
63,Ford Figo 1.2P,2017,600000,25000,Petrol,18.16,1196.0,86.8,5.0
64,Maruti Baleno Delta,2019,650000,30000,Petrol,21.4,1197.0,83.1,5.0
65,Volkswagen Ameo 1.5,2016,540000,40000,Diesel,22.0,1498.0,108.495,5.0
66,Honda City i,2015,630000,135000,Diesel,25.1,1498.0,98.6,5.0
67,Maruti Wagon R,2018,448000,30000,Petrol,20.51,998.0,67.0,5.0
68,Volkswagen Ameo 1.5,2017,500000,80000,Diesel,21.66,1498.0,108.62,5.0
69,Maruti Vitara Brezza,2016,745000,70000,Diesel,24.3,1248.0,88.5,5.0
70,Maruti Vitara Brezza,2019,1025000,9850,Diesel,24.3,1248.0,88.5,5.0
71,Hyundai i10 Magna,2011,235000,60000,Petrol,20.36,1197.0,78.9,5.0
72,Maruti Swift VDI,2016,630000,70000,Diesel,25.2,1248.0,74.0,5.0
73,Toyota Fortuner 4x4,2015,1700000,78000,Diesel,12.55,2982.0,168.5,7.0
74,Maruti Swift Star,2013,450000,120000,Diesel,22.9,1248.0,74.0,5.0
75,Maruti Ertiga ZXI,2012,450000,120000,Petrol,16.02,1373.0,93.7,7.0
76,Volkswagen Vento Diesel,2013,450000,170000,Diesel,20.54,1598.0,103.6,5.0
77,Toyota Innova 2.5,2016,1200000,140000,Diesel,12.99,2494.0,100.6,8.0
78,Ford EcoSport 1.5,2015,610000,90000,Diesel,22.77,1498.0,98.59,5.0
79,BMW X1 sDrive20i,2016,2500000,30000,Petrol,15.71,1998.0,189.0,5.0
80,Maruti Celerio ZXI,2017,484999,10000,Petrol,23.1,998.0,67.04,5.0
81,Datsun GO A,2016,275000,49000,Petrol,19.02,1198.0,67.05,5.0
82,Maruti Alto 800,2016,315000,32000,Petrol,24.7,796.0,47.3,5.0
83,Maruti Alto 800,2016,275000,38000,Petrol,24.7,796.0,47.3,5.0
84,Hyundai i10 Era,2012,290000,28000,Petrol,19.81,1086.0,68.05,5.0
85,Maruti Omni 8,2017,280000,32000,Petrol,14.0,796.0,35.0,5.0
86,Maruti Wagon R,2010,225000,44000,LPG,26.2,998.0,58.2,5.0
87,Volkswagen Polo 1.2,2015,455000,42000,Petrol,16.47,1198.0,74.0,5.0
88,Hyundai i10 Magna,2015,351000,45000,Petrol,19.81,1086.0,68.05,5.0
89,Volkswagen Vento Petrol,2012,535000,12000,Petrol,15.04,1598.0,103.6,5.0
90,Maruti Zen Estilo,2009,175000,55500,Petrol,18.2,998.0,67.1,5.0
91,Hyundai i20 Asta,2013,525000,61500,Petrol,18.5,1197.0,82.85,5.0
92,Maruti Swift Dzire,2016,600000,150000,Diesel,26.59,1248.0,74.0,5.0
93,Hyundai Xcent 1.2,2016,565000,72000,Petrol,19.1,1197.0,82.0,5.0
94,Maruti Alto LX,2008,120000,68000,Petrol,19.7,796.0,46.3,5.0
95,Hyundai i20 1.4,2017,725000,110000,Diesel,22.54,1396.0,88.73,5.0
96,Maruti Wagon R,2009,185000,77000,Petrol,21.79,998.0,67.05,5.0
97,Tata Manza Aura,2010,200000,100000,Diesel,18.8,1248.0,90.0,5.0
98,Maruti Swift VXI,2019,615000,10000,Petrol,21.21,1197.0,81.8,5.0
99,Maruti Eeco 7,2016,270000,100000,Petrol,15.37,1196.0,73.0,7.0
100,Maruti Baleno Zeta,2018,610000,35000,Petrol,21.4,1197.0,83.1,5.0
101,Mahindra Scorpio VLX,2014,625000,70000,Diesel,11.79,2179.0,120.0,8.0
102,Ford Freestyle Titanium,2020,400000,5000,Petrol,19.0,1194.0,94.68,5.0
103,Hyundai Verna VTVT,2017,866000,37800,Petrol,17.0,1591.0,121.3,5.0
104,Volkswagen Passat 1.8,2010,700000,114000,Petrol,14.3,1798.0,160.0,5.0
105,Tata Indica Vista,2010,300000,48000,Petrol,15.8,1172.0,65.0,5.0
106,Mahindra XUV500 W11,2019,1700000,32000,Diesel,15.1,2179.0,155.0,7.0
107,Tata Indigo CS,2016,375000,100000,Diesel,19.09,1405.0,69.01,5.0
108,Hyundai Verna 1.6,2013,522000,150000,Diesel,22.32,1582.0,126.32,5.0
109,Hyundai i20 Magna,2013,451999,69000,Diesel,21.9,1396.0,88.76,5.0
110,Toyota Corolla Altis,2009,300000,100000,Petrol,14.53,1798.0,138.1,5.0
111,Maruti Celerio VXI,2020,475000,13000,Petrol,21.63,998.0,67.04,5.0
112,Maruti Vitara Brezza,2016,780000,60000,Diesel,24.3,1248.0,88.5,5.0
113,Maruti Swift Dzire,2017,595000,40000,Petrol,20.85,1197.0,83.14,5.0
114,Maruti Wagon R,2017,440000,35000,Petrol,20.51,998.0,67.04,5.0
115,Nissan Terrano XL,2014,400000,70000,Diesel,20.45,1461.0,83.8,5.0
116,Hyundai Creta 1.6,2016,1140000,50000,Diesel,19.67,1582.0,126.2,5.0
117,Ford EcoSport 1.5,2017,850000,76139,Diesel,23.0,1498.0,98.96,5.0
118,Maruti Swift Dzire,2012,370000,175000,Diesel,19.3,1248.0,73.9,5.0
119,Renault KWID 1.0,2018,350000,25000,Petrol,23.01,999.0,67.0,5.0
120,Maruti Celerio VXI,2015,360000,40000,Petrol,23.1,998.0,67.04,5.0
121,Maruti Alto LXi,2008,105000,65000,Petrol,19.7,796.0,46.3,5.0
122,Maruti Ertiga VDI,2013,625000,90000,Diesel,20.77,1248.0,88.76,7.0
123,Hyundai Santro Xing,2009,135000,80000,Petrol,17.92,1086.0,62.1,5.0
124,Maruti Ertiga VDI,2015,700000,110000,Diesel,20.77,1248.0,88.76,7.0
125,Honda Amaze S,2019,690000,1303,Petrol,17.8,1198.0,86.7,5.0
126,Audi Q5 35TDI,2018,3975000,31800,Diesel,17.01,1968.0,188.0,5.0
127,Lexus ES 300h,2019,5150000,20000,Petrol,22.37,2487.0,214.56,5.0
128,Jaguar XF 2.0,2017,3200000,45000,Diesel,19.33,1999.0,177.0,5.0
129,Jeep Wrangler 2016-2019,2017,4100000,17000,Petrol,9.5,3604.0,280.0,5.0
130,Land Rover Discovery,2019,4500000,21000,Diesel,12.83,1999.0,148.31,7.0
131,BMW 5 Series,2018,3790000,29500,Diesel,22.48,1995.0,187.74,5.0
132,BMW X4 M,2019,5800000,7500,Diesel,16.78,1995.0,190.0,5.0
133,Skoda Superb LK,2018,1864999,50000,Petrol,14.67,1798.0,177.46,5.0
134,Mercedes-Benz E-Class E250,2016,2700000,35000,Diesel,15.0,2143.0,204.0,5.0
135,MG Hector Sharp,2019,1750000,19000,Petrol,13.96,1451.0,141.0,5.0
136,Honda City i-VTEC,2017,795000,41000,Petrol,18.0,1497.0,117.6,5.0
137,Toyota Corolla Altis,2013,625000,39000,Petrol,14.28,1798.0,138.03,5.0
138,Volvo XC40 D4,2018,3400000,22000,Diesel,18.0,1969.0,190.0,5.0
139,Audi Q7 35,2015,2650000,53000,Diesel,12.07,2967.0,241.4,7.0
140,Maruti Ciaz ZDi,2015,535000,40000,Diesel,26.21,1248.0,88.5,5.0
141,Mercedes-Benz S-Class S,2017,5850000,47000,Diesel,13.5,2987.0,282.0,5.0
142,BMW 5 Series,2010,975000,72200,Petrol,10.8,2497.0,150.0,5.0
143,Hyundai Elantra S,2016,805000,49900,Petrol,16.3,1797.0,147.5,5.0
144,Jaguar XE 2016-2019,2017,2625000,9000,Diesel,13.6,1999.0,177.0,5.0
145,Tata Nexon 1.2,2018,811000,11000,Petrol,17.0,1198.0,108.5,5.0
146,Volkswagen Vento Petrol,2011,375000,49000,Petrol,15.04,1598.0,103.6,5.0
147,Hyundai Elantra SX,2012,550000,95000,Petrol,16.3,1797.0,147.5,5.0
148,Skoda Rapid 1.6,2016,645000,11000,Petrol,14.3,1598.0,103.5,5.0
149,Mercedes-Benz CLA 200,2018,2550000,18000,Petrol,15.04,1991.0,183.0,5.0
150,Maruti Ertiga ZXI,2014,599000,46100,Petrol,16.02,1373.0,93.7,7.0
151,Mercedes-Benz New C-Class,2017,2700000,16000,Petrol,14.74,1991.0,181.04,5.0
152,Honda City V,2017,875000,18000,Petrol,15.6,1497.0,116.3,5.0
153,Toyota Glanza V,2019,894999,9654,Petrol,19.56,1197.0,81.8,5.0
154,Maruti Alto K10,2011,175000,11000,Petrol,23.95,998.0,67.05,5.0
155,Maruti Swift VXI,2012,340000,24300,Petrol,21.21,1197.0,81.8,5.0
156,Toyota Innova Crysta,2016,1525000,42163,Diesel,11.36,2755.0,171.5,7.0
157,Tata Nexon 1.5,2018,1025000,8000,Diesel,21.5,1497.0,108.5,5.0
158,BMW 3 Series,2016,2150000,30000,Diesel,22.69,1995.0,190.0,5.0
159,Toyota Camry 2.5,2016,1900000,41000,Petrol,19.16,2494.0,157.7,5.0
160,BMW 5 Series,2016,2900000,12000,Diesel,18.12,1995.0,190.0,5.0
161,Toyota Camry W4,2009,450000,71000,Petrol,12.1,2362.0,164.7,5.0
162,Maruti Ertiga BSIV,2016,850000,20000,Petrol,17.5,1373.0,91.1,7.0
163,Volkswagen Vento Diesel,2011,300000,100000,Diesel,20.54,1598.0,103.6,5.0
164,Ford Figo Aspire,2018,575000,9500,Petrol,18.16,1196.0,86.8,5.0
165,Ford Figo Diesel,2011,160000,120000,Diesel,20.0,1399.0,68.0,5.0
166,Maruti Swift VXI,2015,515000,36600,Petrol,20.4,1197.0,81.8,5.0
167,Maruti Wagon R,2015,390000,50000,Petrol,20.51,998.0,67.0,5.0
168,Hyundai i20 Magna,2016,550000,14000,Petrol,18.6,1197.0,81.83,5.0
169,Maruti 800 Std,1999,40000,40000,Petrol,16.1,796.0,37.0,4.0
170,Maruti Ritz VDi,2010,220000,120000,Diesel,21.1,1248.0,73.9,5.0
171,Hyundai Grand i10,2015,425000,70000,Petrol,18.9,1197.0,82.0,5.0
172,Volkswagen Ameo 1.0,2019,480000,13000,Petrol,19.44,999.0,75.0,5.0
173,Hyundai Grand i10,2014,400000,60000,Petrol,18.9,1197.0,82.0,5.0
174,Maruti Swift Dzire,2014,487000,35000,Petrol,19.1,1197.0,85.8,5.0
175,Hyundai Xcent 1.2,2016,386000,44000,Petrol,19.1,1197.0,82.0,5.0
176,Honda City 1.5,2005,100000,120000,Petrol,13.0,1493.0,100.0,5.0
177,Toyota Corolla Altis,2010,300000,60000,Diesel,21.43,1364.0,87.2,5.0
178,Daewoo Matiz SD,2000,100000,60000,Petrol,18.5,796.0,53.0,5.0
179,Toyota Fortuner 4x2,2014,1750000,30000,Diesel,13.0,2982.0,168.5,7.0
180,Mahindra KUV 100,2016,450000,15000,Petrol,18.15,1198.0,82.0,6.0
181,Tata Zest Quadrajet,2017,490000,90000,Diesel,22.95,1248.0,74.0,5.0
182,Honda City 1.5,2009,345000,47000,Petrol,17.0,1497.0,118.0,5.0
183,Maruti Zen LXI,2005,85000,90000,Petrol,17.3,993.0,60.0,5.0
184,Maruti Wagon R,2010,215000,120600,Petrol,18.9,998.0,67.1,5.0
185,Hyundai Verna Transform,2010,320000,100000,Petrol,16.2,1599.0,103.2,5.0
186,Maruti Swift Dzire,2016,459999,60000,Petrol,20.85,1197.0,83.14,5.0
187,Hyundai Getz GLS,2005,65000,86000,Petrol,15.3,1341.0,83.0,5.0
188,Hyundai Elite i20,2020,720000,5000,Petrol,18.6,1197.0,81.86,5.0
189,Maruti Ciaz 1.3,2017,800000,37000,Diesel,28.09,1248.0,88.5,5.0
190,Tata Tigor 1.2,2019,520000,14000,Petrol,20.3,1199.0,84.0,5.0
191,Maruti Ertiga VDI,2015,580000,70000,Diesel,20.77,1248.0,88.76,7.0
192,Honda City i,2015,600000,50000,Petrol,17.4,1497.0,117.3,5.0
193,Honda Brio S,2014,290000,60000,Petrol,19.4,1198.0,86.8,5.0
194,Maruti Wagon R,2016,360000,50000,CNG,26.6,998.0,58.16,5.0
195,Maruti Swift Dzire,2017,550000,50000,Petrol,20.85,1197.0,83.14,5.0
196,Hyundai i20 Sportz,2013,375000,70000,Petrol,18.5,1197.0,82.85,5.0
197,Maruti Wagon R,2018,420000,35000,Petrol,20.51,998.0,67.0,5.0
198,Maruti Swift Dzire,2017,550000,20000,Petrol,21.21,1197.0,81.8,5.0
199,Maruti Alto 800,2018,270000,20000,Petrol,24.7,796.0,47.3,5.0
200,Maruti Swift Dzire,2018,700000,7800,Petrol,22.0,1197.0,81.8,5.0
201,Maruti Swift VXI,2017,500000,20000,Petrol,20.4,1197.0,81.8,5.0
202,Tata Hexa XE,2019,1250000,15000,Diesel,17.6,2179.0,147.94,7.0
203,Hyundai i20 Magna,2013,320000,31377,Petrol,18.5,1197.0,82.85,5.0
204,Maruti Swift Dzire,2018,700000,50000,Diesel,28.4,1248.0,74.02,5.0
205,Maruti Wagon R,2015,290000,60000,Petrol,20.51,998.0,67.04,5.0
206,Toyota Corolla Altis,2012,550000,100000,Petrol,14.53,1794.0,138.1,5.0
207,Honda Brio S,2012,265000,60000,Petrol,19.4,1198.0,86.8,5.0
208,Maruti Baleno Alpha,2018,830000,5000,Petrol,21.4,1197.0,83.1,5.0
209,Tata Safari Storme,2017,800000,60000,Diesel,14.1,2179.0,147.94,7.0
210,Maruti Alto LXi,2011,160000,25000,Petrol,19.7,796.0,46.3,5.0
211,Renault KWID RXT,2018,335000,30000,Petrol,25.17,799.0,53.3,5.0
212,Datsun GO T,2017,329000,80000,Petrol,20.63,1198.0,67.0,5.0
213,Maruti Vitara Brezza,2017,775000,75000,Diesel,24.3,1248.0,88.5,5.0
214,Hyundai Xcent 1.2,2020,524000,32000,Petrol,20.14,1197.0,81.86,5.0
215,Maruti Alto 800,2015,245000,40000,Petrol,22.74,796.0,47.3,5.0
216,Hyundai i20 1.2,2012,275000,93000,Petrol,17.0,1197.0,80.0,5.0
217,Tata Zest Revotron,2018,520000,60000,Petrol,17.57,1193.0,88.7,5.0
218,Nissan Sunny XL,2014,550000,37000,Petrol,16.95,1498.0,97.7,5.0
219,Ford EcoSport 1.5,2018,910000,15000,Petrol,17.0,1497.0,121.36,5.0
220,Nissan Micra Active,2015,300000,80000,Petrol,19.49,1198.0,67.04,5.0
221,Maruti Wagon R,2016,350000,140000,Petrol,20.51,998.0,67.04,5.0
222,Mahindra Ssangyong Rexton,2013,900000,70000,Diesel,12.83,2696.0,162.0,7.0
223,Mahindra Quanto C8,2013,300000,120000,Diesel,17.21,1493.0,100.0,7.0
224,Maruti Ritz LDi,2010,250000,110000,Diesel,21.1,1248.0,73.9,5.0
225,Hyundai Creta 1.6,2017,1100000,37000,Diesel,19.67,1582.0,126.2,5.0
226,Renault KWID RXT,2016,270000,44000,Petrol,25.17,799.0,53.3,5.0
227,Maruti Ertiga VDI,2015,640000,80000,Diesel,20.77,1248.0,88.76,7.0
228,Mahindra XUV500 W4,2015,650000,125000,Diesel,15.1,2179.0,140.0,7.0
229,Maruti Eeco 5,2017,409999,13500,Petrol,15.37,1196.0,73.0,5.0
230,Hyundai Santro Xing,2011,165000,75000,Petrol,17.92,1086.0,62.1,5.0
231,Hyundai Accent GLE,2007,80000,120000,Petrol,13.2,1495.0,94.0,5.0
232,Mahindra XUV500 W8,2012,535000,120000,Diesel,15.1,2179.0,140.0,7.0
233,Toyota Innova 2.5,2013,700000,70000,Diesel,12.99,2494.0,100.57,7.0
234,Maruti Swift Dzire,2013,550000,70000,Diesel,23.4,1248.0,74.0,5.0
235,Honda Amaze S,2019,680000,15000,Petrol,19.0,1199.0,88.76,5.0
236,Hyundai i10 Sportz,2009,200000,53000,Petrol,20.36,1197.0,78.9,5.0
237,Maruti Swift Dzire,2014,500000,120000,Diesel,23.4,1248.0,74.0,5.0
238,Maruti Ertiga SHVS,2016,1000000,70000,Diesel,24.52,1248.0,88.5,7.0
239,Hyundai Getz 1.3,2008,110000,120000,Petrol,14.2,1341.0,82.9,5.0
240,Hyundai i20 1.2,2012,320000,100000,Petrol,18.5,1197.0,80.0,5.0
241,Maruti Swift LXI,2015,350000,100000,Petrol,20.4,1197.0,83.11,5.0
242,Tata Indica Vista,2013,170000,162500,Diesel,19.4,1405.0,70.0,5.0
243,Hyundai i20 2015-2017,2017,800000,39000,Diesel,22.54,1396.0,88.73,5.0
244,Maruti Ignis 1.3,2017,500000,75000,Diesel,26.8,1248.0,74.0,5.0
245,Tata Hexa XTA,2017,1380000,50000,Diesel,17.6,2179.0,153.86,7.0
246,Mahindra Marazzo M6,2019,1300000,40000,Diesel,17.3,1497.0,121.0,8.0
247,Hyundai Verna 1.6,2013,530000,92500,Diesel,22.32,1582.0,126.3,5.0
248,Maruti Swift Dzire,2012,360000,158000,Diesel,23.4,1248.0,74.0,5.0
249,Maruti Swift Dzire,2012,310000,120000,Diesel,19.3,1248.0,73.9,5.0
250,Honda City i,2015,725000,50000,Diesel,26.0,1498.0,98.6,5.0
251,Maruti Swift Dzire,2012,340000,110000,Diesel,19.3,1248.0,73.9,5.0
252,Hyundai Xcent 1.2,2017,550000,2000,Diesel,25.4,1186.0,73.97,5.0
253,Toyota Fortuner 3.0,2011,1150000,181000,Diesel,11.5,2982.0,171.0,7.0
254,Tata Tiago 1.05,2016,380000,70000,Diesel,27.28,1047.0,69.0,5.0
255,Nissan Sunny XL,2013,350000,90000,Petrol,17.97,1498.0,99.6,5.0
256,Hyundai Elite i20,2019,610000,2000,Petrol,18.6,1197.0,81.86,5.0
257,Maruti Swift Dzire,2015,525000,20000,Petrol,20.85,1197.0,83.14,5.0
258,Toyota Innova 2.5,2011,480000,120000,Diesel,12.8,2494.0,102.0,7.0
259,Mahindra Thar CRDe,2017,780000,35000,Diesel,16.55,2498.0,105.0,6.0
260,Maruti Swift Dzire,2012,320000,193000,Diesel,19.3,1248.0,73.9,5.0
261,Maruti Swift 1.2,2014,375000,80000,Petrol,20.4,1197.0,81.8,5.0
262,Datsun GO D,2019,300000,40000,Petrol,19.02,1198.0,67.05,5.0
263,Hyundai i20 Asta,2015,500000,70000,Diesel,22.54,1396.0,88.73,5.0
264,Mahindra Scorpio LX,2011,404000,122358,Diesel,12.05,2179.0,120.0,9.0
265,Tata Sumo Gold,2015,500000,75000,Diesel,14.07,2956.0,69.01,7.0
266,Tata Tiago Wizz,2017,350000,120000,Diesel,27.28,1047.0,69.0,5.0
267,Tata Zest Revotron,2015,380000,40000,Petrol,17.57,1193.0,88.7,5.0
268,Hyundai Accent GLE,2008,114999,95200,Petrol,13.2,1495.0,94.0,5.0
269,Honda Brio Exclusive,2014,335000,33033,Petrol,19.4,1198.0,86.8,5.0
270,Hyundai Grand i10,2015,465000,63063,Petrol,18.9,1197.0,82.0,5.0
271,Tata Manza Club,2012,290000,60000,Diesel,21.02,1248.0,88.76,5.0
272,Maruti Alto LX,2005,110000,45000,Petrol,19.7,796.0,46.3,5.0
273,Tata New Safari,2011,450000,80000,Diesel,11.57,2179.0,138.1,7.0
274,Mahindra Bolero SLE,2009,400000,170000,Diesel,13.6,2523.0,63.0,7.0
275,Mahindra Bolero DI,2007,210000,207890,Diesel,13.6,2523.0,63.0,7.0
276,Mercedes-Benz GL-Class 220d,2018,4600000,7976,Diesel,17.9,2143.0,170.0,5.0
277,Maruti Omni E,2016,220000,35000,Petrol,16.8,796.0,34.2,8.0
278,Hyundai Grand i10,2017,450000,35000,Petrol,18.9,1197.0,82.0,5.0
279,Hyundai Grand i10,2017,450000,35000,Petrol,18.9,1197.0,82.0,5.0
280,Hyundai i10 Sportz,2013,290000,50000,Petrol,16.95,1197.0,78.9,5.0
281,Maruti Swift VXI,2016,520000,20000,Petrol,20.4,1197.0,81.8,5.0
282,Hyundai i10 Sportz,2011,265000,20000,Petrol,16.95,1197.0,78.9,5.0
283,Maruti Swift VXI,2012,330000,50000,Petrol,18.6,1197.0,85.8,5.0
284,Maruti Swift VXI,2012,330000,50000,Petrol,18.6,1197.0,85.8,5.0
285,Mahindra Bolero 2011-2019,2014,509999,120000,Diesel,15.96,2523.0,62.1,7.0
286,Hyundai Verna 1.6,2014,500000,70000,Petrol,17.1,1591.0,121.3,5.0
287,Hyundai i20 Active,2015,525000,50000,Petrol,17.19,1197.0,81.86,5.0
288,Maruti Baleno Zeta,2019,675000,16500,Petrol,21.01,1197.0,81.8,5.0
289,Hyundai i20 1.2,2010,300000,70000,Petrol,17.0,1197.0,80.0,5.0
290,Maruti Alto LXI,2005,90000,99361,Petrol,19.7,796.0,46.3,5.0
291,Maruti Swift Dzire,2017,650000,25000,Diesel,26.59,1248.0,74.0,5.0
292,Maruti Swift Dzire,2014,409000,70000,Petrol,19.1,1197.0,85.8,5.0
293,Hyundai Grand i10,2015,395000,80000,Diesel,24.0,1120.0,70.0,5.0
294,Maruti Swift Dzire,2014,400000,70000,Petrol,19.1,1197.0,85.8,5.0
295,Chevrolet Beat LS,2012,120000,60000,Petrol,18.6,1199.0,79.4,5.0
296,Tata Tigor 1.2,2018,645000,10000,Petrol,20.3,1199.0,84.0,5.0
297,Maruti 800 Std,2006,81000,80000,Petrol,16.1,796.0,37.0,4.0
298,Honda City i-DTEC,2017,1300000,30000,Diesel,25.6,1498.0,97.9,5.0
299,Honda City i-DTEC,2017,1250000,33000,Diesel,25.6,1498.0,97.9,5.0
300,Maruti Ertiga VXI,2013,535000,90000,Petrol,16.02,1373.0,93.7,7.0
301,Nissan Terrano XV,2014,555000,80100,Diesel,19.01,1461.0,108.5,5.0
302,Honda City i,2014,725000,120000,Petrol,17.4,1497.0,117.3,5.0
303,Renault KWID RXL,2016,229999,40000,Petrol,25.17,799.0,53.3,5.0
304,Toyota Innova 2.5,2013,800000,160000,Diesel,12.99,2494.0,100.6,8.0
305,Maruti Wagon R,2017,409999,47000,Petrol,20.51,998.0,67.04,5.0
306,Hyundai Creta 1.4,2018,1210000,25000,Diesel,21.38,1396.0,88.7,5.0
307,Tata Tiago 1.2,2017,400000,26000,Petrol,23.84,1199.0,84.0,5.0
308,Hyundai Grand i10,2018,520000,29000,Diesel,24.0,1186.0,73.97,5.0
309,Maruti Baleno Zeta,2016,650000,50000,Petrol,21.4,1197.0,83.1,5.0
310,Maruti Swift ZXI,2011,325000,58000,Petrol,16.1,1298.0,88.2,5.0
